[u'mr', u'01', u'000014d9', u'00000000', u'00000000', u'00000000', u'0afa', u'8d', u'40494049', u'a0:0']
[u'mc', u'01', u'00001547', u'00000000', u'00000000', u'00000000', u'0afb', u'8e', u'000c2027', u'a0:0']
[u'mr', u'01', u'000014e3', u'00000000', u'00000000', u'00000000', u'0afb', u'8e', u'40494049', u'a0:0']
[u'mc', u'01', u'000015a0', u'00000000', u'00000000', u'00000000', u'0afc', u'8f', u'000c213f', u'a0:0']
[u'mr', u'01', u'0000153c', u'00000000', u'00000000', u'00000000', u'0afc', u'8f', u'40494049', u'a0:0']
[u'mc', u'01', u'00001592', u'00000000', u'00000000', u'00000000', u'0afd', u'90', u'000c2257', u'a0:0']
[u'mr', u'01', u'0000152e', u'00000000', u'00000000', u'00000000', u'0afd', u'90', u'40494049', u'a0:0']
[u'mc', u'01', u'00001596', u'00000000', u'00000000', u'00000000', u'0afe', u'91', u'000c236f', u'a0:0']
[u'mr', u'01', u'00001532', u'00000000', u'00000000', u'00000000', u'0afe', u'91', u'40494049', u'a0:0']
[u'mc', u'01', u'00001602', u'00000000', u'00000000', u'00000000', u'0aff', u'92', u'000c2487', u'a0:0']
[u'mr', u'01', u'0000159e', u'00000000', u'00000000', u'00000000', u'0aff', u'92', u'40494049', u'a0:0']
[u'mc', u'01', u'00001610', u'00000000', u'00000000', u'00000000', u'0b00', u'93', u'000c259f', u'a0:0']
[u'mr', u'01', u'000015ac', u'00000000', u'00000000', u'00000000', u'0b00', u'93', u'40494049', u'a0:0']
[u'mc', u'01', u'0000161e', u'00000000', u'00000000', u'00000000', u'0b01', u'94', u'000c26b8', u'a0:0']
[u'mr', u'01', u'000015ba', u'00000000', u'00000000', u'00000000', u'0b01', u'94', u'40494049', u'a0:0']
[u'mc', u'01', u'00001660', u'00000000', u'00000000', u'00000000', u'0b02', u'95', u'000c27cf', u'a0:0']
[u'mr', u'01', u'000015fc', u'00000000', u'00000000', u'00000000', u'0b02', u'95', u'40494049', u'a0:0']
[u'mc', u'01', u'0000164d', u'00000000', u'00000000', u'00000000', u'0b03', u'96', u'000c28e7', u'a0:0']
[u'mr', u'01', u'000015e9', u'00000000', u'00000000', u'00000000', u'0b03', u'96', u'40494049', u'a0:0']
[u'mc', u'01', u'0000169d', u'00000000', u'00000000', u'00000000', u'0b04', u'97', u'000c29ff', u'a0:0']
[u'mr', u'01', u'00001639', u'00000000', u'00000000', u'00000000', u'0b04', u'97', u'40494049', u'a0:0']
[u'mc', u'01', u'000016a2', u'00000000', u'00000000', u'00000000', u'0b05', u'98', u'000c2b17', u'a0:0']
[u'mr', u'01', u'0000163e', u'00000000', u'00000000', u'00000000', u'0b05', u'98', u'40494049', u'a0:0']
[u'mc', u'01', u'00001660', u'00000000', u'00000000', u'00000000', u'0b06', u'99', u'000c2c30', u'a0:0']
[u'mr', u'01', u'000015fc', u'00000000', u'00000000', u'00000000', u'0b06', u'99', u'40494049', u'a0:0']
